STT,Sample_Index,True_Label_ID,True_Label_Name,Predicted_Label_ID,Predicted_Label_Name,Confidence_Score_%,Result
1,0,9,Ankle boot,9,Ankle boot,999.78,Chính xác
2,1,2,Pullover,2,Pullover,998.97,Chính xác
3,2,1,Trouser,1,Trouser,1000.0,Chính xác
4,3,1,Trouser,1,Trouser,1000.0,Chính xác
5,4,6,Shirt,6,Shirt,960.52,Chính xác
6,5,1,Trouser,1,Trouser,1000.0,Chính xác
7,6,4,Coat,4,Coat,999.99,Chính xác
8,7,6,Shirt,6,Shirt,999.97,Chính xác
9,8,5,Sandal,5,Sandal,1000.0,Chính xác
10,9,7,Sneaker,7,Sneaker,1000.0,Chính xác
11,10,4,Coat,4,Coat,865.99,Chính xác
12,11,5,Sandal,5,Sandal,1000.0,Chính xác
13,12,7,Sneaker,5,Sandal,1000.0,Sai (Lỗi nhầm lẫn)
14,13,3,Dress,3,Dress,1000.0,Chính xác
15,14,4,Coat,4,Coat,689.16,Chính xác
16,15,1,Trouser,1,Trouser,1000.0,Chính xác
17,16,2,Pullover,2,Pullover,999.87,Chính xác
18,17,4,Coat,2,Pullover,858.72,Sai (Lỗi nhầm lẫn)
19,18,8,Bag,8,Bag,1000.0,Chính xác
20,19,0,T-shirt/top,0,T-shirt/top,997.34,Chính xác
21,20,2,Pullover,2,Pullover,999.92,Chính xác
22,21,5,Sandal,5,Sandal,946.34,Chính xác
23,22,7,Sneaker,7,Sneaker,1000.0,Chính xác
24,23,9,Ankle boot,5,Sandal,983.19,Sai (Lỗi nhầm lẫn)
25,24,1,Trouser,1,Trouser,1000.0,Chính xác
26,25,4,Coat,2,Pullover,694.31,Sai (Lỗi nhầm lẫn)
27,26,6,Shirt,6,Shirt,963.94,Chính xác
28,27,0,T-shirt/top,0,T-shirt/top,839.22,Chính xác
29,28,9,Ankle boot,9,Ankle boot,983.69,Chính xác
30,29,3,Dress,3,Dress,427.21,Chính xác
31,30,8,Bag,8,Bag,1000.0,Chính xác
32,31,8,Bag,8,Bag,1000.0,Chính xác
33,32,3,Dress,3,Dress,999.95,Chính xác
34,33,3,Dress,3,Dress,958.03,Chính xác
35,34,8,Bag,8,Bag,1000.0,Chính xác
36,35,0,T-shirt/top,0,T-shirt/top,1000.0,Chính xác
37,36,7,Sneaker,7,Sneaker,1000.0,Chính xác
38,37,5,Sandal,5,Sandal,1000.0,Chính xác
39,38,7,Sneaker,7,Sneaker,1000.0,Chính xác
40,39,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
41,40,6,Shirt,0,T-shirt/top,980.91,Sai (Lỗi nhầm lẫn)
42,41,1,Trouser,1,Trouser,1000.0,Chính xác
43,42,3,Dress,6,Shirt,973.17,Sai (Lỗi nhầm lẫn)
44,43,7,Sneaker,7,Sneaker,997.74,Chính xác
45,44,6,Shirt,6,Shirt,808.41,Chính xác
46,45,7,Sneaker,7,Sneaker,977.59,Chính xác
47,46,2,Pullover,2,Pullover,953.42,Chính xác
48,47,1,Trouser,1,Trouser,1000.0,Chính xác
49,48,2,Pullover,2,Pullover,665.45,Chính xác
50,49,2,Pullover,6,Shirt,747.29,Sai (Lỗi nhầm lẫn)
51,50,4,Coat,4,Coat,917.63,Chính xác
52,51,4,Coat,2,Pullover,832.2,Sai (Lỗi nhầm lẫn)
53,52,5,Sandal,5,Sandal,1000.0,Chính xác
54,53,8,Bag,8,Bag,1000.0,Chính xác
55,54,2,Pullover,2,Pullover,991.77,Chính xác
56,55,2,Pullover,2,Pullover,990.34,Chính xác
57,56,8,Bag,8,Bag,1000.0,Chính xác
58,57,4,Coat,6,Shirt,619.89,Sai (Lỗi nhầm lẫn)
59,58,8,Bag,8,Bag,1000.0,Chính xác
